address,weighted_balance_wei,weighted_balance,share_pct
0xb9839FD6E4110575d01d47866dd4d1c3946bf29f,68766134780044992936,68.766134780044992936,0.003012
0x39b487c1Fb23FB5cC82fb25A0374049ae42c46C3,67117592005373864733,67.117592005373864733,0.002940
0xf9149B963Ed9CD8Bac918d70044A45D47413287c,59496085482465626326,59.496085482465626326,0.002606
0xF88e4e3db8ca35EbFD41076EC4BAD483C9C4F805,57727672983951389784,57.727672983951389784,0.002528
0xD4f9FE0039Da59e6DDb21bbb6E84e0C9e83D73eD,52672070983973336728,52.672070983973336728,0.002307
0x54Fb9590Bd47BE3349B5f3aaF2e40484b5320DD0,47415363954297839840,47.41536395429783984,0.002077
0xE13689A4e7765E9FC891A5B8B672aaF229e77f91,44124249900150432460,44.12424990015043246,0.001932
0xb43f3fC1ccD8027E8d5918EF64C1c75a5f186cbd,42911110146970566934,42.911110146970566934,0.001879
0x88FB689146B3C635b0621Ad67f9bB9a7Ea8BeCC9,39761049318573701084,39.761049318573701084,0.001741
0x59512422AF0709c7CaB8285838975Cd8D7C7CE7d,37770258631792449364,37.770258631792449364,0.001654
0x87C0c0A2d4B9e39A1b6b525A2832a3e080ed6640,30251612303343062937,30.251612303343062937,0.001325
0xcBc7b0Dc2FC47F371AB473f01E7361fBCFD88a48,26598204234247244638,26.598204234247244638,0.001165
0xE67e557B4D80a1467a03a66E818e3305140A7b3f,25948242523159804946,25.948242523159804946,0.001136
0x4aBADbe16A0691041122aC4f44d178a1960d8046,24356452736197222467,24.356452736197222467,0.001067
0x58E03d622a88b4012ee0a97235C6b110077FB867,23300716295947195968,23.300716295947195968,0.001020
0xe5aFf4BC713A019bA7240Aa72A48c5C7819E8e43,21905370000000000000,21.90537,0.000959
0x4082bA9a40e2697b6fcB68eC9B856c19048f99Da,20000000000000000000,20,0.000876
0x5E902320cA92Def34Ae925AB1E7d7e3e9cccf4d5,18364915139651231980,18.36491513965123198,0.000804
0x18Dfee47a1EA15063200c15220c364a7482277Ce,17880490564603595691,17.880490564603595691,0.000783
